Species Group,Species Number,Species Code,FIA Code,PLANTS Symbol,Scientific Name,Common Name
27,81,MG,650,MAGNO,Magnolia,magnolia
27,82,MV,653,MAVI2,Magnolia virginiana,sweetbay
27,83,AP,660,MALUS,Malus,apple
27,84,WT,691,NYAQ2,Nyssa aquatica,water tupelo
27,85,BG,693,NYSY,Nyssa sylvatica,blackgum
27,86,SD,711,OXAR,Oxydendrum arboreum,sourwood
27,87,PW,712,PATO2,Paulownia tomentosa,princesstree
27,88,SY,731,PLOC,Platanus occidentalis,American sycamore
27,89,WL,831,QUPH,Quercus phellos,willow oak
27,90,BK,901,ROPS,Robinia pseudoacacia,black locust
27,91,BL,922,SANI,Salix nigra,black willow
27,92,SS,931,SAAL5,Sassafras albidum,sassafras
27,93,BW,951,TIAM,Tilia americana,American basswood
27,94,WB,952,TIAMH,Tilia americana var. heterophylla,white basswood
27,95,EL,970,ULMUS,Ulmus,elm
27,96,AE,972,ULAM,Ulmus americana,American elm
27,97,RL,975,ULRU,Ulmus rubra,slippery elm
28,98,OH,998,2TB,,other hardwood
28,99,BE,313,ACNE2,Acer negundo,boxelder
28,100,ST,315,ACPE,Acer pensylvanicum,striped maple
28,101,AI,341,AIAL,Ailanthus altissima,tree of heaven
28,102,SE,356,AMELA,Amelanchier,serviceberry
28,103,AH,391,CACA18,Carpinus caroliniana,American hornbeam
28,104,DW,491,COFL2,Cornus florida,flowering dogwood
28,105,HT,500,CRATA,Crataegus,hawthorn
28,106,HH,701,OSVI,Ostrya virginiana,hophornbeam
28,107,PL,760,PRUNU,Prunus,plum
28,108,PR,761,PRPE2,Prunus pensylvanica,pin cherry
